state_name,year,month,temp_mean,temp_max,rainfall_mm,n_fires
Queensland,2018,6,15.983333333333334,10.39,NA,108
Queensland,2018,7,15.814516129032258,9.7,NA,123
Queensland,2018,8,15.787096774193548,8.72258064516129,NA,195
Queensland,2018,9,18.12333333333333,12.87,NA,564
Queensland,2018,10,20.608064516129033,16.474193548387095,NA,1017
Queensland,2018,11,23.343333333333334,18.293333333333333,NA,2635
Queensland,2018,12,24.659677419354836,20.806451612903224,NA,1204
Queensland,2019,1,26.519354838709678,22.635483870967743,NA,456
Queensland,2019,2,25.59107142857143,21.482142857142858,NA,656
Queensland,2019,3,25.258064516129032,21.241935483870968,NA,149
Queensland,2019,4,21.3,17.003333333333334,NA,91
Queensland,2019,5,18.625806451612902,13.46774193548387,NA,41
Australian Capital Territory,1990,1,20.379032258064516,13.058064516129033,NA,NA
Australian Capital Territory,1990,2,19.276785714285715,13.407142857142857,NA,NA
Australian Capital Territory,1990,3,17.612903225806452,10.116129032258064,NA,NA
Australian Capital Territory,1990,4,15.111666666666668,10.58,NA,NA
Australian Capital Territory,1990,5,10.153225806451612,4.119354838709677,NA,NA
Australian Capital Territory,1990,6,5.858333333333333,0.6866666666666668,NA,NA
Australian Capital Territory,1990,7,5.9322580645161285,0.7838709677419355,NA,NA
Australian Capital Territory,1990,8,6.575806451612904,1.770967741935484,NA,NA
Australian Capital Territory,1990,9,8.491666666666667,1.7966666666666666,NA,NA
Australian Capital Territory,1990,10,11.556451612903226,3.8774193548387097,NA,NA
Australian Capital Territory,1990,11,16.215,7.8533333333333335,NA,NA
Australian Capital Territory,1990,12,20.808064516129033,12.138709677419355,NA,NA
Australian Capital Territory,1991,1,22.133870967741935,14.674193548387096,NA,NA
Australian Capital Territory,1991,2,22.35,14.303571428571429,NA,NA
Australian Capital Territory,1991,3,17.81935483870968,9.703225806451613,NA,NA
Australian Capital Territory,1991,4,12.861666666666668,5.1466666666666665,NA,NA
Australian Capital Territory,1991,5,9.582258064516129,2.1451612903225805,NA,NA
Australian Capital Territory,1991,6,9.41,4.92,NA,NA
Australian Capital Territory,1991,7,5.737096774193549,0.5580645161290322,NA,NA
Australian Capital Territory,1991,8,6.2145161290322575,0.8483870967741935,NA,NA
Australian Capital Territory,1991,9,8.393333333333333,1.87,NA,NA
Australian Capital Territory,1991,10,13.708064516129033,5.725806451612903,NA,NA
Australian Capital Territory,1991,11,15.048333333333332,7.4,NA,NA
Australian Capital Territory,1991,12,17.41774193548387,10.64516129032258,NA,NA
Australian Capital Territory,1992,1,18.951612903225804,11.893548387096773,NA,NA
Australian Capital Territory,1992,2,18.379310344827587,12.979310344827587,NA,NA
Australian Capital Territory,1992,3,18,11.448387096774194,NA,NA
Australian Capital Territory,1992,4,12.988333333333333,6.453333333333333,NA,NA
Australian Capital Territory,1992,5,9.432258064516128,2.706451612903226,NA,NA
Australian Capital Territory,1992,6,5.628333333333334,-0.5533333333333332,NA,NA
Australian Capital Territory,1992,7,5.408064516129032,-0.9967741935483871,NA,NA
Australian Capital Territory,1992,8,5.579032258064516,-0.8548387096774194,NA,NA
Australian Capital Territory,1992,9,7.760000000000001,1.6866666666666668,NA,NA
Australian Capital Territory,1992,10,11.964516129032258,5.825806451612904,NA,NA
Australian Capital Territory,1992,11,13.015,6.59,NA,NA
Australian Capital Territory,1992,12,17.22258064516129,11.606451612903225,NA,NA
Australian Capital Territory,1993,1,21.116129032258065,14.248387096774193,NA,NA
Australian Capital Territory,1993,2,19.339285714285715,12.3,NA,NA
Australian Capital Territory,1993,3,15.737096774193548,9.477419354838709,NA,NA
Australian Capital Territory,1993,4,13.510000000000002,5.876666666666667,NA,NA
Australian Capital Territory,1993,5,8.551612903225807,0.4483870967741935,NA,NA
Australian Capital Territory,1993,6,5.183333333333334,-1.0966666666666667,NA,NA
Australian Capital Territory,1993,7,6.97741935483871,0.8548387096774194,NA,NA
Australian Capital Territory,1993,8,7.364516129032258,0.4774193548387097,NA,NA
Australian Capital Territory,1993,9,9.633333333333333,3.243333333333333,NA,NA
Australian Capital Territory,1993,10,11.435483870967742,4.629032258064516,NA,NA
Australian Capital Territory,1993,11,14.965,7.91,NA,NA
Australian Capital Territory,1993,12,18.198387096774194,11.483870967741936,NA,NA
Australian Capital Territory,1994,1,19.95967741935484,11.341935483870968,NA,NA
Australian Capital Territory,1994,2,21.035714285714285,13.764285714285714,NA,NA
Australian Capital Territory,1994,3,15.174193548387098,8.029032258064516,NA,NA
Australian Capital Territory,1994,4,12.955,5.426666666666667,NA,NA
Australian Capital Territory,1994,5,8.85483870967742,1.7516129032258065,NA,NA
Australian Capital Territory,1994,6,6.796666666666667,1.16,NA,NA
Australian Capital Territory,1994,7,5.037096774193548,-2.945161290322581,NA,NA
Australian Capital Territory,1994,8,5.662903225806452,-2.5903225806451613,NA,NA
Australian Capital Territory,1994,9,8.266666666666667,-0.08666666666666671,NA,NA
Australian Capital Territory,1994,10,12.340322580645163,4.541935483870968,NA,NA
Australian Capital Territory,1994,11,16.35333333333333,8.843333333333334,NA,NA
Australian Capital Territory,1994,12,20.462903225806453,12.567741935483872,NA,NA
Australian Capital Territory,1995,1,19.36774193548387,13.606451612903225,NA,NA
Australian Capital Territory,1995,2,19.089285714285715,11.942857142857143,NA,NA
Australian Capital Territory,1995,3,16.143548387096775,8.564516129032258,NA,NA
Australian Capital Territory,1995,4,10.953333333333335,3.736666666666667,NA,NA
Australian Capital Territory,1995,5,10.94516129032258,6.02258064516129,NA,NA
Australian Capital Territory,1995,6,6.696666666666667,1.5166666666666666,NA,NA
Australian Capital Territory,1995,7,4.8419354838709685,-0.061290322580645075,NA,NA
Australian Capital Territory,1995,8,8.525806451612903,0.9580645161290322,NA,NA
Australian Capital Territory,1995,9,9.391666666666666,2.83,NA,NA
Australian Capital Territory,1995,10,12.88225806451613,6.658064516129032,NA,NA
Australian Capital Territory,1995,11,15.286666666666665,8.946666666666667,NA,NA
Australian Capital Territory,1995,12,16.666612903225808,9.33,NA,NA
Australian Capital Territory,1996,1,19.503225806451614,13.196774193548388,NA,NA
Australian Capital Territory,1996,2,17.193103448275863,10.10344827586207,NA,NA
Australian Capital Territory,1996,3,16.717741935483872,9.529032258064516,NA,NA
Australian Capital Territory,1996,4,11.368333333333334,4.113333333333333,NA,NA
Australian Capital Territory,1996,5,9.829032258064517,2.9290322580645163,NA,NA
Australian Capital Territory,1996,6,7.106666666666667,0.71,NA,NA
Australian Capital Territory,1996,7,5.691935483870968,0.13870967741935486,NA,NA
Australian Capital Territory,1996,8,7.006451612903226,1.0838709677419356,NA,NA
Australian Capital Territory,1996,9,9.736666666666666,3.356666666666667,NA,NA
Australian Capital Territory,1996,10,13.224193548387095,6.458064516129032,NA,NA
Australian Capital Territory,1996,11,13.75,6.81,NA,NA
Australian Capital Territory,1996,12,17.84193548387097,10.119354838709677,NA,NA
Australian Capital Territory,1997,1,18.901612903225807,11.390322580645162,NA,NA
Australian Capital Territory,1997,2,22.61607142857143,14.95,NA,NA
Australian Capital Territory,1997,3,17.383870967741935,10.064516129032258,NA,NA
Australian Capital Territory,1997,4,13.711666666666666,4.806666666666667,NA,NA
Australian Capital Territory,1997,5,10.211290322580645,3.5709677419354837,NA,NA
Australian Capital Territory,1997,6,5.948333333333333,-1.11,NA,NA
Australian Capital Territory,1997,7,4.783870967741936,-2.5064516129032257,NA,NA
Australian Capital Territory,1997,8,5.893548387096774,-1.4903225806451612,NA,NA
Australian Capital Territory,1997,9,9.856666666666667,3.86,NA,NA
